神经网络：neural network
五里湖：Wuli Lake
应急救援：emergency response
燃煤烟气：coal-fired flue gas
塿土：Lou soil
果园土壤：orchard soil
关键环节：key link
环境工程学：environmental engineering science
复合膜：complex film
生物膜法：biofilm process
稻秆：rice straw
无纺布：non-woven fabric
无线监测：wireless monitoring
纵向岭谷区：longitudinal range-gorge region
无机高分子絮凝剂：inorganic polymer flocculant
降解途径：degradation pathway
自动喷水灭火系统：sprinkler system
环境标准：environment standard
溶气气浮：dissolved air flotation
城市污水处理厂：municipal sewage treatment plant
钒酸铋：bismuth vanadate
含钛高炉渣：titanium-bearing blast furnace slag
退浆废水：desizing wastewater
循环冷却水系统：circulating cooling water system
惯性圆锥破碎机：inertia cone crusher
空气负离子：negative air ion
井水：Well water
功能区：functional area
排土场：waste dump
安全监察：safety supervision
营养水平：nutrient level
4A沸石：zeolite 4A
氢氧化铁：ferric hydroxide
过滤材料：filtration material
径流污染：Runoff pollution
含铬废水：wastewater containing chromium
工业区：industrial area
城市燃气：urban gas
火焰原子吸收光谱：flame atomic Absorption spectrometry
甲基蓝：Methyl blue
固相法：Solid Phase Method
滨海湿地：coastal wetlands
生产优化：production optimization
小球藻：Chlorella pyrenoidosa
红薯淀粉：sweet potato starch
喷涂：spray coating
生物圈保护区：Biosphere reserve
遗传损伤：Genetic damage
恢复时间：recovery time
再生胶：reclaimed rubber
生物接触氧化法：biological contact oxidation
厌氧折流板反应器：anaerobic baffled reactor(ABR)
防震减灾：Earthquake prevention and disaster mitigation
液液相平衡：liquid-liquid equilibrium
产气量：biogas production
胶质芽孢杆菌：Bacillus mucilaginosus
自然生态系统：Natural ecosystem
绿色环保：environmental protection
未来趋势：future trend
锌含量：zinc content
清洁技术：clean technology
空白值：blank value
背角无齿蚌：Anodonta woodiana
天然高分子：natural macromolecule
梯度淋洗：gradient elution
溴氨酸：bromamine acid
节水技术：water-saving technology
惰性粒子：inert particles
铅阳极泥：lead anode slime
释放动力学：Release Kinetics
综合污染指数：comprehensive pollution index
政策工具：policy tools
稀有金属：rare metal
安全效益：safety benefit
环境灾害：environmental disaster
废旧橡胶：waste rubber
活性艳蓝KN-R：reactive brilliant blue KN-R
采出液：produced liquid
植物叶片：plant leaf
导热油：Heat transfer oil
精细化管理：Refined management
湘江：Xiangjiang river
好氧生物降解：aerobic biodegradation
风量：air flow
脆弱性分析：vulnerability analysis
城市生活污水：Municipal wastewater
采暖期：Heating period
粘红酵母：Rhodotorula glutinis
遥感反演：remote sensing inversion
自然保护：Natural conservation
淮北平原：Huaibei plain
绍兴市：Shaoxing city
农业利用：agricultural utilization
伏安特性：volt-ampere characteristic
预测系统：prediction system
冶金企业：metallurgical enterprise
丙酸：propanoic acid
漂白粉：bleaching powder
燃烧速度：burning rate
预拌混凝土：premixed concrete
菜籽饼：rapeseed cake
资本逻辑：capital logic
液膜分离：Liquid membrane separation
环境道德：environmental morality
水法：water law
武夷山风景名胜区：Wuyishan Scenery District
注水泵：water injection pump
非使用价值：non-use value
基本农田：prime farmland
应用范围：application scope
海洋浮游植物：marine phytoplankton
溶解有机物：dissolved organic matter
钦州湾：Qinzhou Bay
场模型：field model
物证：material evidence
生态演替：ecological succession
荧光试剂：fluorescent reagent
环境修复：Environmental remediation
岩溶山区：Karst mountain area
静态试验：static test
世界自然遗产：world natural heritage
建模仿真：Modeling simulation
周期振荡：periodic oscillation
空间特征：spatial characteristic
耗热量：heat consumption
地球化学场：geochemical field
凤眼莲：water hyacinth
无铅汽油：unleaded gasoline
流域治理：Watershed management
ISO14000：ISO 14000
矿质营养：mineral nutrients
高大空间：large space
立法体系：legislative system
限值：limit value
现场调查：field investigation
散射光：scattering light
城市防洪：city flood control
氧化性损伤：Oxidative damage
组织损伤：Tissue injury
免疫亲和层析：immunoaffinity chromatography
量的研究：Quantitative research
非参数方法：Nonparametric method
初始分配：initial allocation
马兰黄土：malan loess
机会主义行为：Opportunistic behavior
绿色基础设施：green infrastructure
叶绿素浓度：chlorophyll concentration
数据交换平台：data exchange platform
LMBP算法：LMBP algorithm
渗透稳定性：seepage stability
生产基地：production base
合理规模：rational scale
拍卖机制：auction mechanism
氮流失：nitrogen loss
伦理文化：ethical culture
战略环境：Strategic environment
事件树分析：event tree analysis
MDA含量：MDA content
于桥水库：Yuqiao Reservoir
现实价值：practical value
体积传质系数：volumetric mass transfer coefficient
水溶性有机物：dissolved organic matter
氮浓度：nitrogen concentration
类水滑石：hydrotalcite-like compound
简介：brief introduction
流域管理：river basin management
职业健康安全：Occupational health and safety
煤矿企业：coal mine enterprise
新疆：Xinjiang Region
含油污水：oily water
沉积盆地：sedimentary basins
化工园区：chemical industry park
乌兰布和沙漠：Wulanbuhe Desert
非煤矿山：Non-coal mine
垃圾渗沥液：landfill leachate
吸附速率：adsorption rate
入渗速率：infiltration rate
铁尾矿：Iron tailing
含油废水：oil-containing wastewater
不安全行为：unsafe behavior
吸附特性：Adsorption characteristic
西溪湿地：Xixi wetland
模型拟合：model fitting
生态工业园区：eco-industrial parks
加热速率：heating rate
脉冲控制：pulse control
脱色率：Decoloration rate
大宁河：Daning river
模糊评判：fuzzy comprehensive evaluation
生态环境效应：eco-environmental effect
粪大肠菌群：fecal coliform
二次污染：Second pollution
热管：heat pipes
方法改进：method improvement
斑马鱼：Brachydanio rerio
分离变量法：method of separation of variables
环境与发展：environment and development
河南油田：Henan Oil Field
硝化反应：nitration reaction
活性艳红K-2BP：Reactive brilliant red K-2BP
运行特性：operation characteristic
生态占用：ecological footprint
塔里木河下游：lower reaches of the Tarim River
筛选指标：screening index
N2O排放：N2O emission
膜生物反应器(MBR)：membrane bioreactor(MBR)
持久性有机污染物：persistent organic pollutants(POPs)
大气环境容量：atmospheric environmental capacity
化工企业：chemical enterprises
聚醚砜：Poly(ether sulfone)
事故率：accident rate
煤气废水：Coal gasification wastewater
乙酸异戊酯：iso-amyl acetate
生态破坏：ecological destruction
分类收集：Sorting collection
煤炭生产：coal production
储氧材料：oxygen storage material
模糊数学模型：Fuzzy mathematical model
酸性红G：acid red G
氨氧化细菌：Ammonia-oxidizing bacteria
锌冶炼：zinc smelting
滹沱河：Hutuo River
三氟乙酸：trifluoroacetic acid
增压风机：booster fan
生态环境保护：Eco-environmental protection
相似材料模拟：similar material simulation
洋河水库：Yanghe Reservoir
麻痹性贝毒：Paralytic shellfish poisoning
蒙古裸腹溞：Moina mongolica
监测方法：monitoring methods
固含率：solid holdup
Y沸石：Y zeolite
工业代谢：industrial metabolism
脉冲电晕：pulse corona
多效蒸发：multi-effect evaporation
脂肪胺：aliphatic amine
空气环境：air environment
缓冲容量：buffering capacity
聚合物微球：polymer microspheres
改性蒙脱土：modified montmorillonite
絮凝率：flocculating rate
凹版印刷：gravure printing
农牧交错带：ecotone between agriculture and animal husbandry
首都圈：capital circle
酒精废水：alcohol wastewater
混合比：mixing ratio
环境合作：environmental cooperation
城市生态系统健康：urban ecosystem health
CO_2排放：CO_2 emission
案例库：Case base
AD转换：AD conversion
养猪场废水：piggery wastewater
高梯度磁分离：high gradient magnetic separation
个体行为：individual behavior
多刺裸腹溞：Moina macrocopa
人-机系统：man-machine system
风险水平：risk level
矿物学特征：mineralogical characteristics
水环境监测：Water environment monitoring
四氯化硅：silicon tetrachloride
造纸污泥：paper mill sludge
基础管理：basic management
电子供体：electron donor
地下水质：Groundwater quality
燃烧速率：burning rate
显著性检验：test of significance
辅助电极：Auxiliary electrode
手性农药：chiral pesticide
大沽河：Dagu River
锥状斯氏藻：Scrippsiella trochoidea
介孔碳：Mesoporous carbon
民勤盆地：Minqin Basin
旅游环境容量：Tourism environmental capacity
管式膜：tubular membrane
九龙江口：Jiulong River Estuary
TOPSIS方法：TOPSIS Method
资源效率：Resource efficiency
新疆维吾尔自治区：Xinjiang Uygur Autonomous Region
乌海市：Wuhai city
产业调整：industrial adjustment
苯氧乙酸：phenoxyacetic acid
叶片含水量：leaf water content
规划方案：planning scheme
亚致死效应：sublethal effect
联锁控制：interlock control
感应炉：induction furnace
同步荧光光谱：synchronous fluorescence spectra
生态观：ecological view
铝离子：aluminum ion
热安全性：thermal safety
社会生态学：Social Ecology
锅炉运行：boiler operation
浑水：muddy water
文化模式：cultural patterns
寒区：cold area
消落带：water-level-fluctuating zone
评价理论：evaluation theory
比活度：specific activity
麦秆：wheat straw
形态变化：morphological change
大叶相思：acacia auriculiformis
煤转化：coal conversion
逐步回归法：stepwise regression
城市用地：urban land use
江门市：Jiangmen city
汾河：Fenhe River
淡水鱼类：freshwater fish
方法验证：method validation
多主体系统：Multi-agent systems
社会工作者：social worker
地下通道：underground passage
嘉陵江流域：Jialing River Basin
环氧砂浆：epoxy mortar
碳税：carbon tax
Agent模型：Agent model
雨水资源化：rainwater resources
索洛模型：Solow Model
环境公平：environmental equity
海州湾：Haizhou Bay
电子元器件：electronic component
乙酸异丁酯：isobutyl acetate
专题制图：thematic mapping
中华蟾蜍：Bufo gargarizans
音乐喷泉：music fountain
晋江市：Jinjiang city
马粪海胆：Hemicentrotus pulcherrimus
青虾：Macrobrachium nipponense
国际比较：international compare
Cd胁迫：Cd stress
力矩控制：Torque Control
技术异化：Technology alienation
贸易模式：trade pattern
逸度模型：fugacity model
甲硫醇：methyl mercaptan
复合垂直流人工湿地：integrated vertical-flow constructed wetland
危害辨识：hazard identification
厌氧序批式反应器：anaerobic sequencing batch reactor
绿色社区：green community
反应精馏：reaction distillation
生态公路：ecological highway
污染状况：pollution status
燃烧特性：combustion property
废物利用：waste utilization
空气质量模式：air quality model
废液：waste liquor
压滤机：pressure filter
集对分析法：set pair analysis
污染转移：pollution transfer
充水因素：water filling factor
含酚废水：wastewater containing phenol
2,4-二氯苯氧乙酸：2,4-dichlorophenoxyacetic acid
垃圾焚烧炉：waste incinerator
危险度评价：risk assessment
硫化矿：Sulfide ores
声波团聚：acoustic agglomeration
数浓度：number concentration
活性碳纤维：activated carbon fibers
资源综合利用：comprehensive utilization of resources
管理政策：management policy
发酵液：fermentation liquor
航空煤油：Aviation kerosene
沙丘：sand dune
城市安全：urban safety
曝气量：aeration rate
城市水环境：urban water environment
600MW：600 MW
硫酸盐气溶胶：Sulfate aerosol
养殖废水：aquaculture wastewater
曲靖市：Qujing City
除尘系统：dedusting system
畜禽废水：livestock wastewater
淀粉微球：starch microsphere
双钙钛矿：Double perovskite
正式制度：formal system
大气能见度：atmospheric visibility
辽河三角洲：Liaohe River Delta
电还原：electrochemical reduction
复合纳米粒子：composite nanoparticle
废旧塑料：waste plastic
铁相：iron phase
累积效应：cumulative effect
催化体系：catalyst system
效果评价：Effect Appraisal
抗性机理：resistant mechanism
总汞：Total Mercury
γ-聚谷氨酸：γ-polyglutamic acid
年际变化：annual variation
紫外线消毒：ultraviolet disinfection
参数估值：parameter estimation
NaOH：Sodium hydroxide
高活性：high activity
暴露评估：exposure assessment
单因素方差分析：one-way ANOVA
线性范围：Linear range
受体模型：Receptor model
黔西南：southwest Guizhou
水文特征：hydrological characteristics
海州香薷：Elsholtzia splendens
陕北地区：northern Shaanxi
公路交通：road traffic
阴极还原：cathodic reduction
同时脱硫脱硝：simultaneous desulfurization and denitrification
除磷脱氮：nitrogen and phosphorus removal
过量空气系数：excess air coefficient
降解酶：degrading enzyme
克隆文库：clone library
变化分析：change analysis
运行参数：Operating parameters
细砂：fine sand
符号有向图：signed directed graph
卷烟厂：cigarette factory
绿色大学：green university
北江：Beijiang River
直接进样：Direct injection
生态容量：ecological capacity
还原焙烧：reduction roasting
植被分布：vegetation distribution
矿山环境：mining environment
资源评价：resources assessment
选择还原：selective reduction
环境管制：environmental regulation
生物滴滤池：Biotrickling Filter
次氯酸钙：Calcium hypochlorite
工业废水处理：Industrial wastewater treatment
排烟温度：flue gas temperature
北黄海：North Yellow Sea
秀丽隐杆线虫：Caenorhabditis elegans
安全监控系统：safety monitoring system
施工工序：construction process
土壤保持：soil conservation
反应结晶：reactive crystallization
邛海：Qionghai Lake
安全系统工程：safety system engineering
回收系统：recovery system
试验结果：test results
脉冲参数：pulse parameter
磷酸钠：sodium phosphate
白泥：white mud
黑碳气溶胶：black carbon aerosol
气候效应：climate effect
雷达图：radar chart
氡析出率：radon exhalation rate
防治方法：prevention method
阳极焙烧：anode baking
火灾科学：fire science
水化反应：hydration reaction
罗茨风机：roots blower
底栖硅藻：Benthic diatom
代用燃料：substitute fuel
水域：water area
厂址选择：site selection
奈曼旗：Naiman Banner
采样方法：Sampling method
公式法：formula method
旅游可持续发展：Sustainable tourism development
X衍射：X-ray diffraction
响应机制：response mechanism
松辽平原：Songliao Plain
投资评价：investment evaluation
糠醛渣：furfural residue
发电厂：power plants
汽车业：automobile industry
生态关系：ecological relationship
北京山区：Beijing mountain area
低气压：low air pressure
生态住宅：Ecological housing
量化模型：quantitative model
武陵山区：Wuling mountain area
废弃采石场：abandoned quarry
光环境：lighting environment
张家口市：Zhangjiakou City
同步设计：synchronous design
压力开关：Pressure switch
GIS系统：GIS system
绿色企业：green enterprise
表层水：surface water
热量回收：Heat recovery
江阴市：Jiangyin city
自相关系数：autocorrelation coefficient
新理论：new theory
良性循环：virtuous circle
经济开发区：economic development zone
总碱度：total alkalinity
混合元：Mixed finite element
化学萃取：chemical extraction
传播途径：Transmission route
葎草：Humulus scandens
新记录种：new records
反向PCR：inverse PCR
直接经济损失：direct economic loss
特长隧道：extra-long tunnel
教学问题：teaching problems
冯家山水库：Fengjiashan reservoir
Swarm仿真：Swarm simulation
TSP：traveling salesman problem
邵阳市：Shaoyang City
景观敏感度：landscape sensitivity
产业带：industrial belt
灰色关联投影法：grey relation projection method
形象定位：image positioning
产业园区：industrial park
个人价值：individual value
供用电：power supply and consumption
适应性管理：adaptive management
制度文明：System civilization
底灰：Bottom Ash
粮食作物：grain crops
长期定位试验：Long-term experiment
季节分布：seasonal distribution
胭脂鱼：Myxocyprinus asiaticus
气候异常：climatic anomaly
泛在网络：Ubiquitous network
知识管理战略：knowledge management strategy
突变级数法：Catastrophe progression method
多中心治理：polycentric governance
国际机制：international mechanism
水质安全：water quality safety
褪色反应：fading reaction
变异函数：variation function
超声波处理：ultrasonic treatment
酸性气：acid gas
用水网络：water-using network
pH计：pH meter
粘附力：adhesive force
协调度：coordinating degree
辽东湾：Liaodong gulf
腈纶废水：acrylic fiber wastewater
种群结构：community structure
土地利用总体规划：comprehensive land use planning
环保意识：Environmental protection consciousness
中华大蟾蜍：Bufo gargarizans
循环利用：circular utilization
湿法烟气脱硫：wet flue gas desulphurization
皂素废水：diosgenin wastewater
溶解有机质：Dissolved organic matter
酱油废水：sauce wastewater
生态产业链：eco-industrial chain
新装备：new equipment
受限空间：confined space
影响评估：impact assessment
真空热解：vacuum pyrolysis
抚仙湖：Fuxianhu lake
开路电位：open circuit potential
原位修复：in-situ remediation
壳聚糖微球：chitosan microsphere
复合生物反应器：hybrid biological reactor
农田排水：farmland drainage
燃煤机组：coal-fired unit
污染水平：pollution level
兴凯湖：Xingkai Lake
总量控制：Gross Control
催化聚合：catalytic polymerization
工作机制：work mechanism
深部矿井：deep mine
铵离子：ammonium ion
菜地土壤：vegetable soil
生产试验：production test
牛粪：dairy manure
电化学处理：electrochemical treatment
矿物材料：mineral material
低温低浊：low temperature and low turbidity
COD去除：COD removal
吉林省西部：West Jilin Province
联用技术：Hyphenated Techniques
两相厌氧消化：two-phase anaerobic digestion
农药残留分析：pesticide residue analysis
乳品废水：dairy wastewater
水处理工艺：water treatment process
生态整体主义：ecological holism
沿海城市：coastal cities
国土规划：territorial planning
室内环境污染：indoor environmental pollution
规范化管理：normalized management
怒江：Nujiang River
燃烧技术：combustion technique
碳材料：Carbon materials
高寒湿地：alpine wetland
浸渍树脂：impregnated resin
空气采样：air sampling
根际土：rhizosphere soil
技术经济比较：technical and economic comparison
聚硅酸：polysilicic acid
直接沉淀法：direct precipitation
城市污水污泥：Municipal sewage sludge
啤酒生产：beer production
东江：Dongjiang River
沉淀碳酸钙：precipitated calcium carbonate
水解离：water dissociation
铁膜：iron plaque
生产废水：production wastewater
线性拟合：linear fit
碳沉积：carbon deposition
城市生活：city life
水资源价值：water resource value
丁基罗丹明B：butylrhodamine B
收益法：income method
毒性评价：toxicity evaluation
恩施州：Enshi Autonomous Prefecture
有机絮凝剂：organic flocculant
安全检测：safety inspection
复合改性：compound modification
泸沽湖：Lugu Lake
松辽流域：Songliao River Basin
能源规划：energy planning
含氰废水：cyanide-containing wastewater
丹东市：Dandong city
定量风险评价：quantitative risk assessment
配套措施：supporting measures
环境生态学：environmental ecology
香溪河库湾：Xiangxi Bay
产量因子：yield factor
导电聚苯胺：conductive polyaniline
系统安全性：system security
环境经济政策：environmental economic policy
室内空气品质：indoor air quality(IAQ)
生物合成：biological synthesis
人为失误：human error
分析应用：Analytical application
顶空进样：headspace injection
丙烯酸酯共聚物：acrylate copolymer
动态研究：dynamic research
流动注射分光光度法：flow injection spectrophotometry
管理策略：management policy
道路规划：road planning
起燃温度：light-off temperature
化工生产：chemical production
一维模型：one-dimensional model
微波预处理：microwave pretreatment
竞争反应：Competitive reaction
中美关系：Sino-US relationship
监测仪器：Monitoring instrument
河南大学：Henan University
辐射环境：radiation environment
利益相关者分析：Stakeholder analysis
低温热解：Low-temperature pyrolysis
声压：acoustic pressure
朗肯循环：Rankine cycle
间接竞争ELISA：indirect competitive ELISA
水溶开采：solution mining
高原湖泊：plateau lake
资源科学：Resources science
动态评价：dynamic assessment
代谢通量：metabolic flux
换热特性：heat transfer characteristics
控制室：control room
火电：thermal power
硝酸盐污染：Nitrate pollution
永定河：Yongding River
计算机辅助系统：computer-aided system
高原湿地：Plateau Wetland
设计规范：design criterion
企业风险：enterprise risk
技术策略：technical strategy
黄山风景区：Huangshan Scenic Spot
精度评价：Precision evaluation
铜川市：Tongchuan city
控制站：control station
延吉市：Yanji City
景观类型：Landscape type
费用-效益分析：Cost-benefit analysis
调车作业：shunting operation
广州港：Guangzhou Port
叶绿素b：Chlorophyll b
能源消费结构：energy consumption structure
温控仪：temperature controller
模糊自适应PID：fuzzy self-adaptive PID
煤炭消费：coal consumption
风险沟通：risk communication
赤峰市：Chifeng City
水提液：water extract
防控措施：Prevention and control measures
应急保障：emergency support
实践与思考：Practice and thinking
价值补偿：value compensation
水景设计：waterscape design
间接经济损失：indirect economic loss
历史过程：historical process
洪水资源：flood resources
能源开发：energy development
周边环境：Surrounding Environment
实测数据：measured data
压实黄土：compacted loess
管理过程：management process
评判模型：evaluation model
模糊物元模型：Fuzzy matter-element model
水和废水：water and wastewater
最大浑浊带：turbidity maximum
财税政策：finance and taxation policy
经济区：economic zone
指数体系：index system
土壤盐碱化：soil salinization
最优停时：optimal stopping time
沽源县：Guyuan County
技术范式：technology paradigm
社会主义制度：socialist system
政治伦理：political ethic
应急管理体系：emergency management system
串联：in series
热解机理：pyrolysis mechanism
水热条件：hydrothermal condition
系统思考：systematic thinking
运行效果：running effect
水环境管理：water environmental management
酿酒酵母：Saccharomyces cerevisia
制盐：salt making
液相色谱法：high performance liquid chromatography
污染机理：pollution mechanism
纸坊沟流域：Zhifanggou watershed
新疆油田：Xinjiang Oilfield
油气回收：vapor recovery
溶剂浮选：solvent flotation
沉降速率：settlement rate
生态压力指数：Ecological tension index
环境行为：environment behavior
外周血细胞：Peripheral blood cell
节杆菌：Arthrobacter sp
反电晕：back corona
短流程：short process
水污染事故：water pollution accident
蜂窝陶瓷：ceramic honeycomb
产酶条件：fermentation conditions
塑料制品：plastic product
印度芥菜：Indian mustard
微生物制剂：microbial preparation
脱硫脱硝：desulfurization and denitrification
甲基丙烯酸：methyl acrylic acid
苯胺废水：aniline wastewater
物理化学性质：Physical and chemical properties
兴化湾：Xinghua bay
四尾栅藻：Scenedesmus quadricauda
矿山公园：mine park
实时预测：real-time prediction
污染物扩散：pollutant dispersion
污染特性：pollution characteristics
缓蚀阻垢：corrosion and scale inhibition
