有限元：finite element
激光衰减：laser attenuation
亚像素检测：sub-pixel detection
自适应惯性权重：adaptive inertia weight
分布估计：Estimation of distribution
功率频谱：power spectra
模糊语言变量：Fuzzy Linguistic Variable
频率捕获：frequency capture
在线规划：online planning
量子粒子群：quantum particle swarm
鲁棒滤波器：robust filter
模糊因子：fuzzy factor
漂浮基空间机械臂：free-floating space manipulator
特征基函数：characteristic basis function
龙格-库塔算法：Runge-Kutta algorithm
通信时间：communication time
μC/OSII：μC/OS II
正弦调制：sine modulation
硬件编程：hardware programming
校相：phase calibration
非线性最小二乘估计：nonlinear least squares estimation
零重力：Zero gravity
通信端口：communication port
捕获和跟踪：acquisition and tracking
递归估计：recursive estimation
代表点：Representative points
卫星平台：satellite platform
偏振本征态：eigenstate of polarization
资金限制：capital constrain
动量转移：momentum transfer
轨道分析：orbit analysis
气象探测：meteorological sounding
卫星授时：satellite time transfer
LAMBDA算法：LAMBDA algorithm
军事体育教育：military physical education
通用ATS：General ATS
偶极子磁场：dipole magnetic field
有效基线：effective baseline
等晕角：Isoplanatic angle
三线阵：three line array
复杂系统建模：complex system modeling
激波/湍流边界层干扰：shock wave/turbulent boundary layer interaction
人格测验：personality tests
热生长氧化物：thermally grown oxide
卫星覆盖：Satellite coverage
基准图制备：preparation of reference map
非定常自由来流：unsteady free stream
三级维修：three-level maintenance
耦合误差：Coupling error
RCS序列：RCS series
庞特里亚金极大值原理：Pontryagin maximum principle
机场安全：airport safety
舵回路：Rudder loop
多岛遗传算法：Multi-Island Genetic Algorithm
维修间隔：Maintenance Interval
轨道仿真：orbit simulation
负载管理：Load management
光学信号处理：optical signal processing
低轨卫星通信：LEO satellite communication
PCI设备驱动：PCI device driver
互补滤波：complementary filter
野值剔除：outlier elimination
SCM：supply chain management
MUSIG模型：MUSIG model
横向射流：transverse jet
主成份分析法：Principal component analysis
Lissajous轨道：Lissajous orbit
最小方差估计：minimum variance estimation
边界层流动：boundary layer flow
惯性测量系统：inertial surveying system
混合蛙跳算法：Shuffled Frog Leaping Algorithm
混合现实：mixed reality
机载防撞系统：Traffic Alert Collision Avoidance System
安全性验证：Safety verification
信号仿真器：signal simulator
无尾式飞行器：tailless aircraft
"萤火1号"火星探测器(YH-1)：YH-1 Satellite
光学反射镜：optical reflector
阻燃材料：flame retardant materials
重构技术：reconstruction technique
安全管理体系：safety control system
军事装备：military equipments
中性聚合物键合剂：neutral polymeric bonding agent
渗透时间：wet-out time
精度检验：precision verification
镍基单晶合金：single crystal superalloys
多点拉形：multi-point stretch forming
结构演化：microstructure evolution
老化规律：Aging rule
飞机事故：aircraft accident
故障维修：Fault Maintenance
静态评估：static assessment
接触角法：contact angle
粘附功：work of adhesion
红外测温仪：infrared pyrometer
POSER软件：POSER software
冲突区域：conflict region
离散相模型：discrete phase models
纠偏控制：deviation control
颗粒轨道模型：particle-trajectory model
光学系统设计：optical design
进口温度：inlet temperature
黏附功：adhesion work
测量设备：Measure Equipment
近净成形：near-net shape
填充系数：filling coefficient
传热计算：calculation of heat transfer
椭圆拟合：elliptic fitting
树脂改性：resin modification
参数标定：parametric calibration
特性试验：identity experiment
连接方式：connecting mode
事故致因：Accident cause
微粒碰撞噪声检测：particle impact noise detection(PIND)
被动视觉：passive vision
螺旋传动：screw drive
镁热还原：magnesiothermic reduction
内模原理：Internal model theory
工艺创新：technological innovation
楔形锁紧装置：wedge lock
合成效率：Synthesis yield
粘接工艺：adhesion technology
优质铸件：high quality casting
临近层：proximity shell
碰撞模板：collision slab
固体火箭发动机衬层：solid rocket motor liner
缠绕角：winding angle
工作负荷：work load
激光焊接技术：laser welding technology
安全决策：safety decision
环境监控：environmental monitor
航空材料：Aeronautical materials
低温变形：cryogenic deformation
时频特性：time-frequency characteristic
外压：outer pressure
CAE仿真：CAE simulation
湿法缠绕：Wet filament winding
六自由度并联平台：6-DOF Parallel Platform
环氧树脂基体：epoxy matrix
驱动控制系统：driving control system
介质材料：medium material
高速信号：High speed signal
三维实体建模：3D entity modeling
7003铝合金：7003 aluminum alloy
防腐体系：preservative system
阻力矩：moment of resistance
3-硝基-1,2,4-三唑-5-酮(NTO)：3-nitro-1,2,4-triazol-5-one (NTO)
几何描述：Geometrical description
Voronoi模型：Voronoi model
随机载荷：stochastic loads
标准大气：standard atmosphere
空间状态：space state
精密辊锻：precision roll forging
1,3,3-三硝基氮杂环丁烷(TNAZ)：1,3,3-trinitroazetidine (TNAZ)
补偿法：penalty method
角度差：angle difference
类金刚石碳薄膜：DLC film
三冲量控制：Three-element control
安全高度：safety height
工作状态：Operating state
轮盘：wheel disc
应力波因子：Stress wave factor
非甲烷烃：non-methane hydrocarbon
相变过程：phase transformation
三维编织物：3D braided fabrics
氧化诱导期：oxidation induction time
过载系数：overload coefficient
工时：man hour
热力循环：thermodynamic cycles
高精度控制：high precision control
数字化齿面：digital tooth surface
失效特征：failure characteristic
叶型：blade shape
自动分拣系统：automated sorting system
电子数密度：electron density
惯性系数：inertia coefficient
同步驱动：Synchronous driving
电耦合：Electrical coupling
能量计算：energy calculating
数据修补：Data mending
直接配置法：direct collocation method
一次燃烧：primary combustion
WKB法：WKB method
冲击振动：vibro impact
轨道参数：track parameter
三轴转台：three axis turntable
减压器：Pressure reducer
惯性技术：inertia technology
固体推进剂药柱：solid propellant grain
分程控制：step control
智能PID控制：intelligence PID control
舵面：control surface
断裂特性：fracture characteristic
极限尺寸：limit size
评价函数法：evaluation function method
排放指数：emission index
安全综合评价：safety comprehensive evaluation
初始设计：primary design
等离子体浸没离子注入与沉积：Plasma Immersion Ion Implantation and deposition
功能需求：functional demand
可能性分布：distribution of possibility
冲角：impact angle
化学反应模型：chemical reaction model
红外特征：IR characteristics
自适应神经网络：self-adapting neural network
非线性响应：non-linear response
清根加工：clean-up machining
氧化亚氮(N2O)：nitrous oxide (N 2O)
差速机构：Differential mechanism
应变-寿命曲线：strain life curve
资源卫星：Resource satellite
模块接口：module interface
飞行速度：flying speed
暴露面积：exposed area
轴承刚度：Bearing rigidity
误差传播：Error transmission
纤维缠绕壳体：filament wound case
光耦：Photo coupler
电热水器：electric heater
总体参数：general parameters
统计计算：statistic calculation
蒸发管：Evaporating Pipe
阻尼最小二乘法：damping least square method
数字闭环：digital closed loop
不稳定燃烧：Unsteady combustion
遥感成像：remotely sensed imaging
Nomex蜂窝：Nomex honeycomb
锁定机构：locking mechanism
临界管长：critical duct length
快速模拟退火：Fast simulated annealing
变形网格：deforming mesh
复合冷却：compound cooling
SVD分解：singular value decomposition
空间充气展开结构：space inflatable structure
柔性加工：flexible machining
节点强度：Node Strength
曲面逼近：curved surface approximation
声纳浮标：Sonar buoy
贝叶斯规则：Bayesian rules
SVR：support vector regression(SVR)
闭环反馈控制：Closed-loop feedback control
立体化教材：Stereoscopic teaching materials
磁敏感性：magnetic susceptibility
参数传递：parameter transmit
生态防治：Ecological measures
非最小相位：Non minimum phase
三维构型：3D architecture
航天产品：space products
突扩燃烧室：sudden expansion combustor
后掠角：sweep angle
雷达截面积：radar cross-section
飞机性能：aircraft performance
作战能力：combat capacity
综合保障：Comprehensive support
空气流量：air flow
直升机旋翼：helicopter blade
健康诊断：healthy diagnosis
EMI滤波器：EMI filters
联邦卡尔曼滤波：federal Kalman filter
复杂自适应系统：complex adaptive system(CAS)
挠性陀螺：flexible gyro
传感器配准：sensor registration
推力系数：Thrust coefficient
液膜冷却：Liquid film cooling
通信卫星：communications satellite
钣金制造：sheet metal manufacturing
可重复使用飞行器：Reusable launch vehicle
移相电路：phase-shift circuit
螺旋桨滑流：turbo-propeller slipstream
椭圆翼型：elliptic airfoil
复合滤波：compound filter
泵阀联合：pump and valve combined
压力边界：pressure boundary
卫星编队：Spacecraft formation
轨迹安全：Trajectory safety
北斗卫星：Beidou satellites
微型航天器：micro spacecraft
航空机轮：aircraft wheel
两级维修：two level maintenance
三线制：three-wire system
捷联惯性导航系统：Strapdown Inertial Navigation System (SINS)
控制特性：control characteristics
转移轨道：Transfer orbit
安全校核：security checking
低雷诺数流动：low Reynolds number flow
驱动特性：actuating characteristic
ARINC429：ARINC 429
作战飞机：operational aircraft
特性计算：Performance computation
簸箕形孔：dust-pan shaped hole
拓扑优化设计：topology optimal design
格林定理：Green's theorem
无人机数据链：UAV data link
非定常相互作用：unsteady interaction
内流特性：internal performance
试车台：test bed
反接制动：reverse braking
压力面：pressure side
飞机模型：aircraft model
Lambert问题：Lambert problem
固定翼飞机：fixed-wing aircraft
着陆引导：landing guide
纵向制导：longitudinal guidance
机载武器：airborne weapons
电视制导：TV guided
规范体系：standardized system
燃油雾化：fuel atomization
飞机起落架：landing gear
压电石英：piezoelectricity quartz
人机耦合：human-machine coupling
查找方法：search method
近自由表面：free surface
边界层分离：boundary-layer separation
雷暴冲击风：thunderstorm downbursts
热尺寸稳定性：stability of thermal dimension
冷气掺混：coolant mixing
旋翼流场：rotor flow fields
航迹投影：route projection
紫外敏感器：Ultraviolet sensor
可观测度：observable degree
动态网格：dynamic grids
MEMS陀螺仪：MEMS gyro
微机械陀螺仪：micro-machined gyroscope
超短波通信：Ultrashort wave communication
吸气位置：suction slot location
多功能结构：multi-functional structure
调节特性：adjustment characteristic
喉部面积：throat area
等效电磁流法：method of equivalent currents(MEC)
Lyapunov分析：Lyapunov analysis
滚转力矩：rolling moment
格式分析：format analysis
太阳帆航天器：Solar sail spacecraft
系留气球：captive balloon
调焦机构：focusing structure
稳定性裕度：Energy margin
非线性状态估计：nonlinear state estimation
静止轨道卫星：geostationary satellite
混压式进气道：mixed-compression inlet
应力均匀：stress equilibrium
快速反射镜：fast steering mirror
参数敏感度：parameter sensitivity
空间观测：space observation
饱和非线性：saturation nonlinear
热流模拟：heat flux simulation
耗油率：oil consumption rate
航天测量船：TT&C ship
捷联航姿系统：strapdown attitude heading reference system
伴随轨道：concomitant orbit
压电堆：piezoelectric stack
三维振动：Three-dimensional vibration
串联谐振频率：series resonant frequency
微波散射计：microwave scatterometer
工程算法：engineering method
INS/GPS组合导航：INS/GPS integrated navigation
直接模拟蒙特卡罗：Direct Simulation Monte Carlo
机场净空：airport clearance
负载自动管理系统：load auto management system(LAMS)
航线规划：Route Planning
二次涡：secondary vortex
叶素理论：blade element theory
小展弦比：low aspect-ratio
非定常激励：unsteady excitation
立方镜：cubic prism
数字磁罗盘：digital magnetic compass
脉冲涡流：pulsed eddy-current
发动机试验：engine testing
星载计算机系统：On-board computer system
表面压力分布：surface pressure distribution
扫描相机：Streak camera
等达因法：isodyne method
位置关系：location relationship
瞬时流量：Discharge flow
子阵划分：subarray partition
星载天线：spaceborne antenna
搜索与救援：search and rescue
红外抑制：infrared suppressing
Hall推力器：Hall thruster
动力补偿：power compensation
高低温：high-low temperature
分子流：molecular flow
直连式试验：direct-connect test
破坏试验：failure test
互调干扰：Mutual interference
吸气式高超声速飞行器：Air-breathing hypersonic vehicle
Bragg光栅：fiber Bragg grating
叶片造型：blade modeling
拖动系数：traction coefficient
结构响应主动控制：active control of structural responses
水燃比：water-fuel ratio
航材：aerial material
逆升压：reverse bootstrap
高超进气道：hypersonic inlet
单相流体回路：single-phase fluid loop
批生产：batch production
容错滤波：fault tolerant filter
构型管理：configuration management
临界面法：critical plane approach
推力特性：thrust characteristic
Bump进气道：Bump inlet
无人驾驶飞机：unmanned aerial vehicle
组合定姿：integrated attitude determination
侦察无人机：reconnaissance UAV
流动和传热：fluid flow and heat transfer
区域导航：regional navigation
飞翼构型：flying wing configuration
反作用控制系统：reaction control system
多电飞机：more-electric aircraft
可燃混合气：Combustible mixture
部件特性：component characteristic
偏振误差：Polarization error
温度误差模型：temperature error model
木材热解：wood pyrolysis
不完备检测：imperfect inspection
可靠性鉴定试验：reliability evaluation test
移动性能：mobility performance
缩比模型：scale model
小展弦比机翼：low-aspect-ratio wing
声学模态：acoustic modality
隐藏腐蚀：hidden corrosion
行星探测：planetary exploration
飞行器管理计算机：vehicle management computer
外物损伤：foreign object damage
空间推进算法：space-marching algorithms
优化布局：layout optimization
航材保障：Air materiel support
点火位置：ignition position
可展开结构：deployable structure
混合火箭发动机：hybrid rocket motor
航空电子综合化：avionics integration
高度估计：altitude estimation
非结构重叠网格：overset unstructured grid
容量利用：capacity utilization
柔性扑翼：flexible flapping-wing
栅格翼：grid fins
卫星工具包：satellite tool kit
飞机总体设计：aircraft conceptual design
壁面压力脉动：wall pressure fluctuations
球型收敛调节片喷管：spherical convergent flap nozzle
闭锁误差：lock-in error
无桨混合机：non-blade mixer
一体化高超声速飞行器：integrated hypersonic vehicle
气动-推进性能：aero-propulsive performance
多层递阶：multi-layer recursive
定向灵敏度：Directional sensitivity
FIR数字滤波：FIR digital filtering
载波相位差分：carrier phase difference
扩压叶栅：diffusion cascade
截面特性：sectional characteristic
径向基函数(RBF)神经网络：RBF neural network
加工路径：machining path
分布式SAR：distributed SAR
全物理仿真：full-physical simulation
载波捕获：carrier acquisition
三维两相湍流燃烧：3D two phase turbulent combustion
镍基单晶：nickel-based single crystal
微型燃烧室：micro combustor
战车：Combat Vehicle
机动模型：maneuver model
数据检测：data measure
矢量喷管：vectoring thrust nozzle
高空弹道：high altitude ballistic
继电器盒：relay box
安全间隔：safety separation
气动弹性系统：aeroelastic system
陶瓷轴承：ceramic bearings
小波变换阈值滤波：wavelet threshold-value filter
Busemann进气道：Busemann inlet
大椭圆轨道：highly elliptic orbit
大型运输机：large transport
主动热控：active thermal control
H∞回路成形：H_∞ loop shaping
电液舵机：Electro-hydraulic actuator
地面等待策略：ground-holding strategy
单膨胀斜面喷管：single expansion ramp nozzle
负载压力：Load pressure
SINS/GPS组合导航系统：SINS/GPS integrated navigation system
气流扰动：air disturbance
非齐次Poisson过程：Non-homogeneous Poisson Process
微型无人机：micro air vehicle
反舰巡航导弹：anti-ship cruise missile
大折转角：high-turning angle
电控旋翼：electrically controlled rotor
标准工艺：standard process
光电成像：Photoelectric imaging
形态学处理：Morphologic processing
间隙泄漏流：tip leakage flow
陷落腔：cave-in cavity
飞机结构件：aircraft structural part
两相燃烧：Two phase combustion
牵制释放：Hold-down and release
重载荷：heavy load
气动失稳：aerodynamic instability
可重构柔性模具：reconfigurable tooling
乘波飞行器：waverider aircraft
相对运动方程：Relative motion equation
组合发动机：combined engine
跨声速风扇：transonic fan
对接仿真：Docking simulation
天基测控：Space-based TT&C
扑翼飞行器：flapping wing air vehicle
航天工程：Aerospace engineering
方位控制：azimuth control
可压缩边界层：compressible boundary layer
轨道运动：Orbital motion
再入轨迹优化：reentry trajectory optimization
成像辐射计：Imaging radiometer
组合畸变：combined distortion
S形进气道：S-shaped inlet
惯性坐标系：Inertial coordinate system
软件修正：software correction
折转角：turning angle
非线性非高斯：nonlinear and non-Gaussian
低速压气机：low speed compressor
导航/飞控系统：Navigation/Flight control system
飞行动力学模型：flight dynamics model
叶盘：bladed disk
伪码跟踪环：PN code tracking loop
跟驰理论：car-following theory
叶型设计：Blade design
维修保障能力：maintenance support capability
真空容器：vacuum container
表面热流：heating rate
伪距率：pseudo-range rate
航空声纳：dipping sonar
地球敏感器：earth sensor
锯齿冠：serrated shroud
高焓激波风洞：high enthalpy shock tunnel
控制谱：control spectrum
试验设计(DOE)：Design Of Experiment(DOE)
空间划分：spatial partitioning
平衡速度：equilibrium speed
电路控制：circuit control
检测电容：Detection capacitance
探月工程：lunar exploration project
边界层稳定性：boundary layer stability
无人驾驶直升机：Pilotless helicopter
时间推进法：explicit time marching method
主燃油泵：main fuel pump
风车特性：windmilling characteristics
数字高程图：digital elevation model
对转技术：counter-rotating technique
在轨测试：In-orbit Test
陀螺仪漂移：gyro drift
舰载飞机：carrier-based aircraft
飞行剖面：Flight profile
频率设计：frequency design
工艺文件：Process Document
层次关系：Hierarchical Relation
航空电子综合系统：integrated avionics system
高分辨率空间相机：High resolution space camera
端系统：End system
信号积累：Signal accumulation
角随机游走：Angle Random Walk
区域性星座：regional constellation
重调度策略：rescheduling strategy
再入飞行：reentry flight
运动基座：Moving base
座舱显示系统：cockpit display system
MapInfo软件：MapInfo software
容量评估：capacity estimation
电路法：circuit approach
挂钩牵引力：drawbar pull
视线制导：Line-of-sight guidance
读出系统：readout system
控制效能：control efficiency
控制重构：control reconfiguration
螺旋桨飞机：Propeller-driven aircraft
航天测控系统：space TT&C system
策略集：strategy set
Lyapunov维数：Lyapunov dimension
相似系统：similar system
材料优选：material optimization
多次点火：Multi-Time Ignition
北京一号小卫星：Beijing-1 micro-satellite
装配信息模型：assembly information model
差分滤波：differential filter
二次响应面：square response surface
胚胎电子系统：Embryonic systems
系统重用：system reuse
涡轮前温度：turbine inlet temperature
航迹优化：route optimization
优化布站：optimal disposition
状态递推器：state propagator
随机不平顺：stochastic irregularity
扩压因子：diffusion factor
航空运输管理：aviation transportation management
偏心率矢量：eccentricity vector
过零时间：zero-crossing time
扑翼机构：flapping-wing mechanism
电子飞行仪表系统：electronic flight instrument system
智能发动机：intelligent engine
生产诱发系数：production induction coefficient
姿态干扰：attitude disturbance
容差分配：tolerance distribution
电流变送器：current transducer
高精度定位：high-precision positioning
微扑翼飞行器：flapping-wing micro air vehicles
可压流：compressible fluid
频响分析：frequency response analysis
海洋卫星：Ocean satellite
飞机装配型架：aircraft assembly fixture
不对称间隙：asymmetry freeplay
特征值配置：eigenvalue assignment
空载磁场：no-load magnetic field
物料配送：material supply
负序补偿：negative sequence compensation
离心载荷：centrifugal load
瓶颈工序：Bottleneck process
非线性PD控制：nonlinear PD control
风洞天平：Wind tunnel balance
双控：dual control
编队飞行小卫星：formation flying small satellites
显模型跟踪控制：explicit model-following control
超声速混合层：Supersonic mixing layer
Nash对策：Nash game
Smagorinsky模型：Smagorinsky model
致命性部件：Critical component
静风荷载：mean wind load
空管自动化系统：ATC automation system
经济维修：economic maintenance
卫星电源系统：Satellite power system
规划调度：planning and scheduling
跟踪规律：Tracking law
引射火箭：rocket ejector
姿态敏感器：Attitude sensor
纹影照相：schlieren photograph
弹性BP算法：resilient BP algorithm
发动机缸盖：Cylinder head
活动模板库：active template library
循环计数：cycle count
靶机：target drone
嵌入式DSP系统：Embedded DSP system
T-S模糊建模：T-S fuzzy modeling
迭代制导：Iterative guidance
无人机(UAV)：Unmanned Aerial Vehicle (UAV)
弯扭叶片：twisted blade
流场校测：flow field calibration
上翘后体：upswept afterbody
非线性跟踪-微分器：nonlinear tracking-differentiator
机械结构设计：mechanical design
增升装置：high lift devices
爆炸模型：explosion model
分层系统：hierarchical systems
燃烧室设计：combustor design
航迹仿真：track simulation
内方位元素：Inner orientation elements
稀薄气体效应：rarefied gas effect
子模型方法：sub-model method
地球同步轨道卫星：Geosynchronous satellite
和差波束：sum and difference beam
流场品质：flow quality
测控站：TT&C station
主要部件：main parts
柔索驱动：Wire driven
长期项：secular term
波瓣混合器：lobed mixer
负刚度模型：negative stiffness model
单通道控制：single channel control
飞机电源：airplane power supply
网络鲁棒性：network robustness
非平行流：nonparallel flow
数字化瞄准具：digital collimator
拦阻系统：arresting system
系列课程：series course
图像运动补偿：Image motion compensation
报警联动：alarm linkage
微光夜视：night vision
真空获得：vacuum acquirement
多元非线性方程组：systems of nonlinear multivariable equations
奇异扰动：singularly perturbed
超高分辨率：ultra high resolution
自主导航与控制：autonomous navigation and control
热传导逆问题：inverse heat conduction problem
激光陀螺(RLG)：Ring laser gyro(RLG)
系统不确定性：system uncertainty
零位漂移：zero drift
神经网络自适应控制：Neural network adaptive control
静压润滑：hydrostatic lubrication
流体惯性：liquid inertia
直接升力控制：direct lift control
配置控制：configuration control
间隙非线性：freeplay nonlinearity
H_∞控制理论：H ∞ control theory
边界层抽吸：boundary layer suction
制导方案：guidance scheme
不同厚度：different thickness
S型函数：S function
燃烧室构型：combustor configuration
技术成熟度：technology maturity
畸变指数：Distortion index
月球基地：Lunar base
损耗模型控制：Loss model control
时域辨识：time domain identification
环控：environmental control
两相爆轰：two phase detonation
等效面积法：equivalent area method
java多线程：java multithread
张力场：tension field
辐射性质：radiative properties
气动构型：Aerodynamic configuration
在线校准：on-line calibration
涡系：vortex system
远程终端(RT)：remote terminal(RT)
分布式计算机网络：distributed computer network
轨道偏心率：orbital eccentricity
火箭滑橇：rocket sled
气象保障：Meteorological support
LM优化算法：LM optimization algorithm
模型偏差：Model bias
模数变换器：analog to digital converter
雷达特征信号：Radar signature
像移测量：image motion measurement
综合测控系统：integrated measurement and control system
水平姿态：level posture
单模光纤耦合器：single mode fiber coupler
微分方程法：differential equation method
位姿检测：position and orientation measurement
作战实验室：Battle lab
多模型切换：multi-model switching
热疏导：heat leading
晕轨道：halo orbit
双模滤波器：dual-mode filter
Lindstedt-Poincare方法：Lindstedt-Poincare method
工科专业：engineering profession
Cramer-Rao下界：Cramer-Rao low bound
总线模型：bus model
尾流可视化仿真：wake vortex visual simulation
太空碎片：Space debris
无人机遥感：UAV Remote Sensing
工程适用性：engineering applicability
可信系统：trusted system
复杂终端：complex termination
动态混合网格：dynamic hybrid mesh
移动域控制：Receding horizon control
基线模型：baseline model
性能度量：performance measurement
弥散斑：defocused spots
展开桁架：deployable truss
多Agent模型：multi-agent model
不平等差错保护：unequal error protection
迭代线性矩阵不等式：iterative linear matrix inequality (ILMI)
直接扩频：direct spread spectrum
单观测站：single observer
分布式配电：Distributed power
切片分析：slice analysis
等离子体振荡：plasma oscillation
Bragg光纤光栅：Bragg fiber grating
静态滤波：static filtering
缓变故障：soft fault
Z域：Z domain
模拟总线：analog bus
飞机拦阻：Aircraft arresting
卫星控制系统：satellite control system
操纵特性：control characteristic
波束置零：beam nulling
参数监控：parameter monitoring
Y波导：Y waveguide
磁通门磁强计：fluxgate magnetometer
小尺度衰落：Small scale fading
部件模型：Component model
拦阻钩：Arresting hook
模拟月壤：Simulant lunar soil
自适应带宽调整：adaptive bandwidth adjustment
代表体元法：representative volume element method
测控通信：TT&C and communication
日地系统：sun-terrestrial system
地震电磁卫星：seismo-electromagnetic satellite
装配工装：assembly tooling
中值法：Median Method
LPV系统：LPV system
CCD立体相机：CCD Stereo Camera
GPS载波相位：GPS carrier phase
模型飞机：model aircraft
非理想气体：non-ideal gas
基结构法：ground structure method
燃烧风洞：combustion wind tunnel
被动变形：passive deformation
